,subject_category,subject,relation,object,object_category,gender,strength,literature_source
8561,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,none,34.0,"32275110-pmc,18451341-pmc,20424793-pmc,22580474-pmc,22962657-pmc,25265883-pmc,25290789-pmc,27182404-pmc,32078907-pmc,33105267-pmc,33224664-pmc,33734045-pmc,34085005-pmc,34107329-pmc,33238386-pmc,26663569-pmc,26663569-pmc,29044117-pmc,34188844-pmc,34188844-pmc,21797704-pmc,21890482-pmc,22569503-pmc,24082597-pmc,25686554-pmc,26080172-pmc,27922451-pmc,32584353-pmc,33998489-pmc,23788524-pmc,28143827-pmc,30065577-pmc,34263859-pmc,30740583-pmc"
8562,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,female,25.0,"34567847-pmc,34567847-pmc,34567847-pmc,34567847-pmc,26022613-pmc,34587847-pmc,22139621-pmc,30174034-pmc,33297259-pmc,24894726-pmc,29005353-pmc,29110025-pmc,30268327-pmc,28291270-pmc,31855671-pmc,32477716-pmc,32477716-pmc,32662741-pmc,33224649-pmc,34235036-pmc,34552610-pmc,26163341-pmc,25504956-pmc,30828550-pmc,33805345-pmc"
8564,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,female,18.0,"22109009-pmc,22612173-pmc,22970406-pmc,22970406-pmc,24884457-pmc,29617644-pmc,29837563-pmc,29837563-pmc,32320221-pmc,32833753-pmc,33627820-pmc,34195130-pmc,23482904-pmc,34810567-pmc,28552599-pmc,34610537-pmc,26781705-pmc,25640035-pmc"
8566,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,female,7.0,"27898063-pmc,32941828-pmc,31637165-pmc,31983235-pmc,27237187-pmc,27237187-pmc,32271725-pmc"
8567,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,male,11.0,"23348003-pmc,27006151-pmc,30765372-pmc,30805387-pmc,32587348-pmc,33968683-pmc,33968683-pmc,26698114-pmc,32795684-pmc,26638162-pmc,34176954-pmc"
8569,intervention,vitamin d3 supplements,increase,vitamin d3,biomarker,male,5.0,"30136627-pmc,34276090-pmc,34276090-pmc,29880492-pmc,29316513-pmc"
8726,intervention,whey protein,decrease,fat mass,biomarker,male,5.0,"28784745-pmc,28784745-pmc,28784745-pmc,33659214-pmc,34341699-pmc"
8811,intervention,whey protein,decrease,sarcopenia,risk,none,4.0,"30035191-pmc,34181216-pmc,34216306-pmc,31390582-pmc"
8822,intervention,whey protein,decrease,systolic blood pressure,biomarker,none,4.0,"26462018-pmc,26462018-pmc,25979801-pmc,29633725-pmc"
8875,intervention,whey protein,impact,blood glucose,biomarker,male,5.0,"21746522-pmc,28851850-pmc,29158109-pmc,29209739-pmc,30051516-pmc"
8881,intervention,whey protein,impact,blood markers,biomarker,male,6.0,"27308973-pmc,29206464-pmc,30912753-pmc,31061788-pmc,32594258-pmc,34176954-pmc"
8944,intervention,whey protein,impact,glucose,biomarker,none,4.0,"20867997-pmc,27777937-pmc,29091835-pmc,26690882-pmc"
9269,intervention,whey protein,increase,glp-1,biomarker,female,6.0,"25339444-pmc,29187533-pmc,29187533-pmc,30559140-pmc,30559140-pmc,30559140-pmc"
9305,intervention,whey protein,increase,insulin,biomarker,male,4.0,"21813623-pmc,28161626-pmc,29901171-pmc,30051516-pmc"
9309,intervention,whey protein,increase,insulin concentrations,biomarker,none,4.0,"27112145-pmc,27634575-pmc,27860223-pmc,28525786-pmc"
9327,intervention,whey protein,increase,lean mass,biomarker,none,9.0,"34216306-pmc,30974088-pmc,25979801-pmc,30974088-pmc,30974088-pmc,30974088-pmc,33524275-pmc,33565456-pmc,34799760-pmc"
9329,intervention,whey protein,increase,lean mass,biomarker,male,8.0,"15245917-pmc,22136533-pmc,25473778-pmc,27308973-pmc,28784745-pmc,29532436-pmc,29613811-pmc,30542298-pmc"
9331,intervention,whey protein,increase,lean muscle mass,biomarker,male,4.0,"25473778-pmc,27308973-pmc,29532436-pmc,30542298-pmc"
9335,intervention,whey protein,increase,leucine,biomarker,none,5.0,"21713596-pmc,22116289-pmc,25868081-pmc,29059888-pmc,29072630-pmc"
9338,intervention,whey protein,increase,leucine,biomarker,male,4.0,"29676068-pmc,30051516-pmc,30426391-pmc,32961460-pmc"
9359,intervention,whey protein,increase,muscle mass,biomarker,male,6.0,"27457409-pmc,30082600-pmc,27457409-pmc,27457409-pmc,30542298-pmc,34176954-pmc"
9362,intervention,whey protein,increase,muscle protein synthesis,biomarker,none,5.0,"25220236-pmc,25220236-pmc,27777937-pmc,29072630-pmc,34581647-pmc"
9391,intervention,whey protein,increase,peptide yy,biomarker,female,6.0,"25339444-pmc,25339444-pmc,29187533-pmc,29187533-pmc,29187533-pmc,30559140-pmc"
9712,intervention,zinc supplements,impact,fasting blood glucose,biomarker,none,4.0,"31176922-pmc,31176922-pmc,31176922-pmc,31176922-pmc"
9716,intervention,zinc supplements,impact,hemoglobin a1c,biomarker,none,4.0,"31176922-pmc,31176922-pmc,31176922-pmc,31176922-pmc"
9717,intervention,zinc supplements,impact,homa-ir,biomarker,none,5.0,"31176922-pmc,31176922-pmc,31176922-pmc,31176922-pmc,31176922-pmc"
9738,intervention,zinc supplements,impact,triglycerides,biomarker,none,4.0,"31176922-pmc,31176922-pmc,31176922-pmc,31176922-pmc"
9767,intervention,zinc supplements,improve,zinc,biomarker,none,4.0,"22785687-pmc,29124095-pmc,32307169-pmc,34235962-pmc"
9780,intervention,zinc supplements,increase,zinc,biomarker,none,9.0,"29621773-pmc,29855651-pmc,29883204-pmc,32307169-pmc,32307169-pmc,33698656-pmc,31907531-pmc,31907531-pmc,31907531-pmc"
9782,intervention,zinc supplements,increase,zinc,biomarker,none,7.0,"28341913-pmc,32472288-pmc,32472288-pmc,32472288-pmc,32580663-pmc,33675341-pmc,30291421-pmc"
